CASRN,SMILES
109217,CCCCOC(=O)CCC
75876,C(=O)C(Cl)(Cl)Cl
107039,CCCS
100845,CC1=CC(=CC=C1)OC
929726,C=COCCOCCOCCO
108485,CC1=NC(=CC=C1)C
565673,CCC(C(C)C)O
624839,CN=C=O
208968,C1=CC2=C3C(=C1)C=CC3=CC=C2
534156,CC(OC)OC
629414,C(CCCCO)CCCO
71556,CC(Cl)(Cl)Cl
91576,CC1=CC2=CC=CC=C2C=C1
302012,NN
110009,C1=COC=C1
589924,CC1CCC(=O)CC1
75105,C(F)F
502567,CCCCC(=O)CCCC
100618,CNC1=CC=CC=C1
,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC
109671,CCCC=C
,C/C=C\C=C
111342,CCCCOC=C
100696,C=CC1=CC=CC=N1
90051,COC1=CC=CC=C1O
108894,CC1=CC=NC=C1
628819,CCCCOCC
95636,CC1=CC(=C(C=C1)C)C
,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
335579,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
920661,C(C(F)(F)F)(C(F)(F)F)O
107926,CCCC(=O)O
88722,CC1=CC=CC=C1[N+](=O)[O-]
646060,C1COCO1
1678928,CCCC1CCCCC1
288471,C1=CSC=N1
75569,CC1CO1
100414,CCC1=CC=CC=C1
75183,CSC
108270,CN1CCCC1=O
,C1=CC=C2C(=C1)C=CS2
,C/C(=C\CCl)/Cl
106445,CC1=CC=C(C=C1)O
100152,CCOCCOCCO
544763,CCCCCCCCCCCCCCCC
565593,CCC(C)C(C)C
76119,C(C(Cl)(Cl)Cl)(F)(F)Cl
123546,CC(=O)CC(=O)C
112721,CCCCCCCCCCCCCCO
76142,C(C(F)(F)Cl)(F)(F)Cl
106503,C1CC(CCC1N)N
62533,C1CCC(CC1)N
74873,CCl
108032,CCC[N+](=O)[O-]
420462,CC(F)(F)F
75683,CC(F)(F)Cl
71432,C1CCCCC1
,CC(C)C#C
89781,CC1CCC(C(C1)O)C(C)C
3172529,C1=C(SC(=C1)Cl)Cl
75047,CCN
108225,CC(=O)OCC=C
103082,CCCCC(CC)CCC(C)O
60344,CNN
563804,CC(C)C(=O)C
,C#N
109660,CCCCC
123386,CCC=O
87616,C1=CC(=C(C(=C1)Cl)Cl)Cl
106956,C=CCBr
