CASRN,SMILES
95169,C1=CC=C2C(=C1)N=CS2
513859,CC(C(C)O)O
108907,C1=CC=C(C=C1)Cl
109897,CCNCC
1704627,CN(C)CCOCCO
,C/C=C/C
90051,COC1=CC=CC=C1O
110054,CC(C)(C)OOC(C)(C)C
124403,CNC
110714,COCCOC
64186,C(=O)O
95636,CC1=CC(=C(C=C1)C)C
106434,CC1=CC=C(C=C1)Cl
76379,C(C(C(F)F)(F)F)O
64175,CCO
93221,CCCCCC1=CC2=CC=CC=C2C=C1
5063650,CCCCCC1CO1
75898,C(C(F)(F)F)O
,CCC/C=C/CCC
538249,CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
593453,CCCCCCCCCCCCCCCCCC
85018,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
110190,CC(C)COC(=O)C
106989,CCC=C
,C1=CC=C(C=C1)CC#N
95487,CC1=CC=CC=C1O
109977,C1=CNC=C1
103651,CCCC1=CC=CC=C1
78751,CC(CBr)Br
111013,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
108087,CC(C)CC(C)C
51901,C(=O)=O
95363,CC1=C(C(=CC=C1)C)C
71556,CC(Cl)(Cl)Cl
616397,CCN(C)CC
67641,CC(=O)C
100414,CCC1=CC=CC=C1
111342,CCCCOC=C
355044,C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F
431038,CC(=O)C(=O)C
98851,CC(C1=CC=CC=C1)O
591242,CC1CCCC(=O)C1
,C/C=C/C=C
78784,CCC(C)C
101848,C1=CC=C(C=C1)OC2=CC=CC=C2
120729,C1=CC=C2C(=C1)C=CN2
108952,C1=CC=C(C=C1)O
115071,CC=C
112925,CCCCCCCCCCCCCCCCCCO
110587,CCCCCN
138863,CC1=CCC(CC1)C(=C)C
,C1=CC=C(C=C1)C#N
111660,CCCCCCC=C
95498,CC1=CC=CC=C1Cl
112287,COCCCOCCCO
,CCCCC#C
,C/C(=C\CCl)/Cl
,CC(C)C#C
513359,CC=C(C)C
123922,CC(C)CCOC(=O)C
534156,CC(OC)OC
463581,C(=O)=S
91576,CC1=CC2=CC=CC=C2C=C1
91203,C1CCC2=CC=CC=C2C1
1717006,CC(F)(Cl)Cl
7778850,CC(COC)OC
75456,C(F)(F)Cl
57147,CN(C)N
107062,C(CCl)Cl
51422549,CCOCCOC(C)(C)C
931919,C1(C(C1(F)F)(F)F)(F)F
79903,CN(C)C=S
141435,C(CO)N
109659,CCCCBr
,C=CC#C
75627,C1=CC=C2C=CC=CC2=C1
109068,CC1=CC=CC=N1
765435,CC(=O)C1CC1
2584750,O
123513,CC(C)CCO
,C#C
120809,C1=CC=C(C(=C1)O)O
124107,CCCCCCCCCCCCCC(=O)OC
463821,CC(C)(C)C
108101,CC(C)CC(=O)C
74895,CN
79005,C(C(Cl)Cl)Cl
1114927,CC(C(C)OC(=O)C)OC(=O)C
,C(CCC#N)CC#N
97994,C1CC(OC1)CO
563791,CC(=C(C)C)C
107879,CCCC(=O)C
140114,CC(=O)OCC1=CC=CC=C1
36373,CC1=CC(=CC=C1)[N+](=O)[O-]
79390,CC(=C)C(=O)N
104289,C1CCC(CC1)O
71432,C1CCCCC1
104767,CCCCC(CC)CO
115220,CC(=O)C(C)(C)O
108441,CC1=CC(=CC=C1)N
74851,C=C
50000,C=O
7726956,BrBr
96413,C1CCC(C1)O
75105,C(F)F
77769,CC(C)(OC)OC
111557,CC(=O)OCCOC(=O)C
95921,CCOC(=O)C(=O)OCC
78591,CC1=CC(=O)CC(C1)(C)C
1978241,C1(C(C(C(C(OC(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
56235,C(Cl)(Cl)(Cl)Cl
109693,CCCCCl
100436,C=CC1=CC=NC=C1
74953,C(Br)Br
462953,CCOCOCC
994058,CCC(C)(C)OC
143248,COCCOCCOCCOCCOC
75354,C=C(Cl)Cl
108214,CC(C)OC(=O)C
127913,CC1(C2CCC(=C)C1C2)C
96479,CC1=CC=CO1
120923,C1CCC(=O)C1
629141,CCOCCOCC
112403,CCCCCCCCCCCC
,C(=C/Cl)\Cl
107186,C=CCO
75467,C(F)(F)F
,CCCCCCCC/C=C\CCCCCCCC(=O)O
1071267,CCCCCC(C)(C)C
62533,C1CCC(CC1)N
111159,CCOCCOC(=O)C
2035894,CN(C)N=C
,CC(C)(C#C)O
110634,C(CCO)CO
86919,CC1=C(C=C(C=C1)N=C=O)N=C=O
592767,CCCCCC=C
540545,CCCCl
79061,C=CC(=O)N
60344,CNN
100663,COC1=CC=CC=C1
100152,CCOCCOCCO
109660,CCCCC
,CN(C)C#N
79312,CC(C)C(=O)O
115253,C1(C(C(C1(F)F)(F)F)(F)F)(F)F
76131,C(C(F)(Cl)Cl)(F)(F)Cl
392563,C1(=C(C(=C(C(=C1F)F)F)F)F)F
123386,CCC=O
142927,CCCCCCOC(=O)C
,C/C=C\C
624920,CSSC
108872,CC1CCCCC1
105384,CCC(=O)OC=C
106354,CCCCC(=O)CC
100425,C=CC1=CC=CC=C1
75047,CCN
75092,C(Cl)Cl
544854,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
,CCC#CC
1120565,C=C1CCC1
65496,C(Cl)(Cl)Cl
111499,C1CCCNCC1
95681,CC1=CC(=C(C=C1)N)C
75569,CC1CO1
107313,COC=O
766154,CC1(CCOCO1)C
106887,CCC1CO1
108394,CC1=CC(=CC=C1)O
584021,CCC(CC)O
124094,C(CCCN)CCN
105373,CCC(=O)OCC
540885,CC(=O)OC(C)(C)C
75036,CCI
208968,C1=CC2=C3C(=C1)C=CC3=CC=C2
555442,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC
,CCC#N
108861,C1=CC=C(C=C1)Br
107211,C(CO)O
2110783,CC(C)(C(=O)OC)O
,CC(=C)C#C
110452,CC(C)CCOC=O
,CCC/C=C\CCC
78900,CC(CN)N
109524,CCCCC(=O)O
,CC(C)C#N
111706,CCCCCCCO
108225,CC(=O)OCC=C
111466,C(COCCO)O
565593,CCC(C)C(C)C
2467109,C(CCCl)CC(Cl)(Cl)Cl
75525,C[N+](=O)[O-]
107415,CC(CC(C)(C)O)O
101815,C1=CC=C(C=C1)CC2=CC=CC=C2
75150,C(=S)=S
104518,CCCCC1=CC=CC=C1
592778,CCCCC=CC
96220,CCC(=O)CC
51809,CN(C)CN(C)C
943931,C1CC=CCCC2C(O2)CCC=C1
90153,C1=CC=C2C(=C1)C=CC=C2O
355044,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F
1653196,C=C(C(=C)Cl)Cl
123728,CCCC=O
2314978,C(F)(F)(F)I
3522949,CC(C)CCC(C)(C)C
112390,CCCCCCCCCCCCCCCC(=O)OC
107982,CC(COC)O
578585,CC1=CC=CC=C1OC
120514,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
106990,C=CC=C
109944,CCOC=O
111922,CCCCNCCCC
563462,CCC(=C)C
115184,CC(C)(C=C)O
584021,CCCC(C)O
123046,CCCCC(CC)CCl
79118,C(C(=O)O)Cl
111762,CCCCOCCO
140761,CC1=NC=C(C=C1)C=C
96377,CC1CCCC1
106467,C1=CC(=CC=C1Cl)Cl
74884,CI
513860,CC(C(=O)C)O
2837890,C(C(F)(F)F)(F)Cl
91634,CC1=NC2=CC=CC=C2C=C1
3221612,CCCCCCC(C)C
672059,CCCCCCCCC=C
,C(#N)Cl
95534,CC1=CC=CC=C1N
624839,CN=C=O
507200,CC(C)(C)Cl
108678,CC1=CC(=CC(=C1)C)C
107391,CC(=C)CC(C)(C)C
13360639,CCCCNCC
110134,CC(=O)CCC(=O)C
98828,CC(C)C1=CC=CC=C1
776352,C1CC2=CC=CC=C2C3=CC=CC=C31
123546,CC(=O)CC(=O)C
87923,C1CCCC1
103082,CCCCC(CC)CCC(C)O
10544726,[N+](=O)([N+](=O)[O-])[O-]
,CCCC#N
112061,CCCCCCCOC(=O)C
355022,C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F
79345,C(C(Cl)Cl)(Cl)Cl
563804,CC(C)C(=O)C
110883,C1OCOCO1
105544,CCCC(=O)OCC
126998,C=CC(=C)Cl
79107,C=CC(=O)O
431890,C(C(F)(F)F)(C(F)(F)F)F
625650,CC(C)C=C(C)C
75718,C(F)(F)(Cl)Cl
1070786,C(CCl)C(Cl)(Cl)Cl
4394858,C1COCCN1C=O
111875,CCCCCCCCO
123422,CC(=O)CC(C)(C)O
589924,CC1CCC(=O)CC1
100174,CCOCCO
108689,CC1=CC(=CC(=C1)O)C
108474,CC1=CC(=NC=C1)C
74964,CCBr
75310,CC(C)N
74975,C(Cl)Br
,CCCCCCCC#N
7782447,O=O
75729,C(F)(F)(F)Cl
542187,CCCCCCCl
57103,CCCCCCCCCCCCCCCC(=O)O
100641,C1CCC(=NO)CC1
56815,C(C(CO)O)O
98953,C1=CC=C(C=C1)[N+](=O)[O-]
78864,CCC(C)Cl
100447,C1=CC=C(C=C1)CCl
,C=CC#N
1072964,C=CC1CCOCO1
583595,CC1CCCCC1O
5137451,CCOCCOC
75376,CC(F)F
646311,CCCCCCCCCCCCCCCCCCCCCCCC
89781,CC1CCC(C(C1)O)C(C)C
764487,C=COCCO
